Tugas_1,Quiz,Praktik,Tugas_4,Tugas_5,Tugas_6,UTS,UAS,Total,Bobot,Kategori
90,98,95,45,98,98,45,37,50.4,1.49,D
80,98,95,83,98,98,57,45,56.2,2.01,C
90,98,95,60,98,98,41,32,46.75,1.16,D
85,98,95,95,98,98,70,70,73,3.3,B
90,98,95,78,98,98,50,12,40.9,0.91,E
85,98,95,70,98,98,45,55,57.5,2.11,C
90,98,95,90,98,98,52,17,43.85,0.97,E
80,98,95,75,98,98,80,58,70.1,3.01,B
90,98,95,66,98,98,54,17,44.55,0.99,E
80,98,95,60,98,98,50,51,56.45,2.03,C
90,57,100,50,50,50,50,46,56.2,2.01,C
90,98,95,100,98,98,57,45,58.2,2.16,C
90,98,95,62,98,98,61,43,58.7,2.19,C
90,98,95,90,98,98,90,90,90,4,A
90,98,95,85,98,98,55,50,59.75,2.27,C
90,98,95,88,98,98,56,26,49.3,1.39,D
85,98,95,70,98,98,60,70,69.5,2.96,C
90,98,95,75,98,98,40,54,56.3,2.02,C
90,98,95,65,98,98,50,46,56.2,2.01,C
90,80,100,0,0,0,49,47,56.3,2.02,C
90,98,95,90,98,98,53,57,62.2,2.44,C
90,98,95,86,98,98,53,14,42.85,0.95,E
85,98,95,43,98,98,50,50,57,2.07,C
90,98,95,84,98,98,73,48,65.15,2.65,C
60,98,95,40,98,98,45,52,57.13,2.08,C
60,98,95,83,98,98,60,50,63.17,2.51,C
62,98,95,60,98,98,55,50,60.54,2.32,C
65,98,95,95,98,98,60,40,59.88,2.28,C
60,98,95,78,98,98,83,55,73.01,3.3,B
75,98,95,70,98,98,67,55,67.7,2.84,C
60,98,95,90,98,98,55,65,67.71,2.84,C
75,98,95,75,98,98,81,70,78.81,3.88,B
66,98,95,66,98,98,60,39,58.35,2.17,C
50,98,95,60,98,98,50,30,50.29,1.48,D
100,57,100,60,98,98,90,70,80.85,4,A
75,98,95,100,98,98,68,70,75.3,3.53,B
59,98,95,62,98,98,64,65,69.65,2.98,C
70,98,95,90,98,98,95,80,88.13,4,A
74,98,95,85,98,98,79,65,76.48,3.65,B
55,98,95,88,98,98,55,45,59.42,2.24,C
80,98,95,70,98,98,65,80,77.21,3.72,B
80,98,95,75,98,98,88,65,79.47,3.95,B
69,98,95,65,98,98,35,35,48.04,1.28,D
100,80,100,70,50,50,80,100,92,4,A
80,98,95,90,98,98,100,95,96.29,4,A
62,98,95,86,98,98,55,45,59.63,2.26,C
75,98,95,43,98,98,92,50,73.33,3.33,B
80,98,95,84,98,98,75,55,71.29,3.13,B
45,98,95,40,98,98,40,40,49.75,1.43,D
67,98,95,66,98,98,88,75,83.05,4,A
50,98,95,60,98,98,90,77,82.3,4,A
100,57,100,60,98,98,90,90,87.5,4,A
75,98,95,100,98,98,85,85,83.75,4,A
59,98,95,62,98,98,90,70,79.5,3.95,B
70,98,95,90,98,98,85,75,79.75,3.98,B
74,98,95,85,98,98,90,90,87.5,4,A
55,98,95,88,98,98,90,77,82.3,4,A
80,98,95,70,98,98,90,45,69.5,2.96,C
80,98,95,75,98,98,90,45,69.5,2.96,C
69,98,95,65,98,98,76,60,70.6,3.06,B
67,98,95,66,98,98,88,90,86.8,4,A
50,98,95,60,98,98,84,45,67.4,2.81,C
50,98,95,60,98,98,95,60,77.25,3.73,B
75,98,95,100,98,98,55,70,67.25,2.8,C
59,98,95,62,98,98,55,60,63.25,2.52,C
70,98,95,90,98,98,50,40,53.5,1.77,D
74,50,95,85,98,98,78,95,88.61,4,A
55,98,95,88,98,98,80,60,72,3.2,B
80,98,95,70,98,98,90,90,87.5,4,A
80,98,95,75,98,98,60,60,65,2.64,C
